id,name,expansion,army_type,unique_unit/0,unique_tech/0,team_bonus,civilization_bonus/0,civilization_bonus/1,civilization_bonus/2,civilization_bonus/3,civilization_bonus/4,unique_tech/1,unique_unit/1
1,Aztecs,The Conquerors,Infantry and Monk,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/jaguar_warrior,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/garland_wars,Relics generate +33% gold,Villagers carry +5,Military units created 15% faster,+5 Monk hit points for each Monastery technology,Loom free,,,
2,Britons,Age of Kings,Foot Archer,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/longbowman,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/yeomen,Archery Ranges work 20% faster,Town Centers cost -50% wood upon reaching the Castle Age,Foot archers (excluding Skirmishers) have +1 range in Castle Age and +1 in Imperial Age (for +2 total),Shepherds work 25% faster,,,,
3,Bizantines,Age of Kings,Defensive,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/cataphract,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/logistica,Monks +50% heal speed,Buildings (except gates) have +10% HP in Dark Age / +20% HP in Feudal Age  / +30% in Castle Age / +40% in Imperial Age,Spearman skirmisher and camel lines cost 25% less,Fire Ships attack 20% faster,Imperial Age costs -33%,Town Watch is free,,
4,Celts,Age of Kings,Infantry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/woad_raider,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/furor_celtica,Siege Workshops work 20% faster,Infantry moves 15% faster,Lumberjacks work 15% faster,Siege weapons reload 20% faster,Sheep cannot be stolen if within one Celt unit's line of sight,,,
5,Chinese,Age of Kings,Archer,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/chu_ko_nu,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/rocketry,Famrs provide +45 food,Start game with 3 extra villagers but -50 wood and -200 food,Technologies cost -10% in Feudal Age/ -15% in Castle Age/-20% in Imperial Age,Town Centers support 10 population instead of 5,Demolition Ships have +50% HP,,,
6,Franks,Age of Kings,Cavalry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/throwing_axeman,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/bearded_axe,Knights have +2 line of sight,Castles are 25% cheaper,Knights have +20% HP,Farm upgrades are free (Mill is required to receive bonus),,,,
7,Goths,Age of Kings,Infantry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/huskarl,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/anarchy,Barracks operate 20% faster,Infantry cost 35% less (starting in Feudal Age),Infantry have +1 attack against buildings,Villagers have +5 attack versus wild boar,Hunters carry +15 meat,+10 to population limit in Imperial Age,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/perfusion,
8,Huns,The Conquerors,Cavalry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/tarkan,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/atheism,Stables are 20% faster,Houses are not required to support population,Start game with -100 Wood,Cavalry Archers cost -25% in Castle Age/ -30% in Imperial Age,Trebuchets are 35% more accurate.,,,
9,Japanese,Age of Kings,Infantry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/samurai,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/kataparuto,Galleys have +50% line of sight,Fishing Ships have 2x HP and +2 pierce armor,Fishing Ships work +5% faster in Dark Age/ +10% in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age,Lumber Camps / Mining Camps / Mills are 50% cheaper,Infantry attack 25% faster (starting in Feudal Age),,,
10,Koreans,The Conquerors,Tower and naval,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/war_wagon,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/shinkichon,Mangonel line has +1 range,Villagers have +3 line of sight,Stone miners work 20% faster,Guard Tower and Keep upgrades are free,Towers (except bombard towers) have +1 range in Castle Age/ +2 in Imperial Age,,,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/turtle_ship
11,Mayans,The Conquerors,Archer,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/plumed_archer,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/el_dorado,Walls are 50% cheaper,Start game with 1 extra villager but -50 food,Natural resources last 20% longer,Archers cost -10% in Feudal Age/ -20% in Castle Age/ -30% in Imperial Age,,,,
12,Mongols,Age of Kings,Cavalry Archer,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/mangudai,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/drill,Scout line has +2 Line of sight,Cavalry Archers reload 20% faster,Light Cavalry and Hussars have +30% HP,Hunters work 50% faster,,,,
13,Persians,Age of Kings,Cavalry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/war_elephant,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/mahouts,Knights have +2 attack versus Archers,Start game with +50 wood and food,Town Center and Docks have 2x HP,Town Centers and Docks operate +10% faster in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age,,,,
14,Saracens,Age of Kings,Camel and naval,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/mameluke,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/zealotry,Foot archers have +2 attack bonus against buildings,Market trade cost is only 5%,Transport Ships have 2x HP and carry capacity,Galleys attack 20% faster,Cavalry Archers have +4 attack bonus against buildings,,,
15,Spanish,The Conquerors,Gunpowder and Monk,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/conquistador,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/supremacy,Trade units generate +33% Gold,Villagers construct buildings 30% faster,Blacksmith upgrades do not cost any gold,Cannon Galleons benefit from Ballistics (less reload time and more accuracy),Hand Cannoneers and Bombard Cannons reload 15% faster,,,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/missionary
16,Teutons,Age of Kings,Infantry,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/teutonic_knight,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/crenellations,Units are more resistant to conversion,Monks have 2x healing range,Towers can garrison 2x units (more arrows),Murder Holes is free,Farms cost 33% less,Town Centers have +1 attack and +5 line of sight,,
17,Turks,Age of Kings,Gunpowder,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/janissary,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/artillery,Gunpowder units are created 20% faster,Gunpowder Units have +25% HP,Gunpowder technologies cost 50% less,Chemistry is free,Gold miners work 15% faster,Light Cavalry and Hussar upgrades are free,,
18,Vikings,Age of Kings,Infantry and naval,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/berserk,https://age-of-empires-2-api.herokuapp.com/api/v1/technology/berserkergang,Docks are 25% cheaper,Warships cost 20% less,Infantry have +10% HP in Feudal Age/ +15% in Castle Age/ +20% in Imperial Age,Wheelbarrow and Hand Cart are free,,,,https://age-of-empires-2-api.herokuapp.com/api/v1/unit/longboat
